Row.names	Pop1	Pop2	Genetic-Group	Pop3	Group.x	Genotype_ID	Group.y	Sampling_year	Group_2	Specie	Race
BoNa200305	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa200305	LR>2000	2003	BoNa2003	Zea mays ssp. mays	Bolita
BoNa20034a	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa20034a	LR>2000	2003	BoNa2003	Zea mays ssp. mays	Bolita
BoNa201501	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa201501	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
BoNa201502	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa201502	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
BoNa201503	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa201503	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
BoNa201504	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa201504	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
BoNa201506	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa201506	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
BoNa201507	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa201507	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
BoNa201508	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa201508	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
BoNa201509	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa201509	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
BoNa201510	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa201510	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
BoNa201511	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	BoNa201511	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
MsNa201402	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	MsNa201402	LR>2000	2014	MsNa2014	Zea mays ssp. mays	Mushito
PpNa194303	1,00E-05	1,00E-05	ML-LR	0.99998	LR<1960	PpNa194303	LR<1960	1943	PpNa1943	Zea mays ssp. mays	Pepitilla
PpNa194305	1,00E-05	1,00E-05	ML-LR	0.99998	LR<1960	PpNa194305	LR<1960	1943	PpNa1943	Zea mays ssp. mays	Pepitilla
PpNa194306	1,00E-05	1,00E-05	ML-LR	0.99998	LR<1960	PpNa194306	LR<1960	1943	PpNa1943	Zea mays ssp. mays	Pepitilla
TbNa201401	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	TbNa201401	LR>2000	2014	TbNa2014	Zea mays ssp. mays	Tabloncillo
TbNa201402	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	TbNa201402	LR>2000	2015	TbNa2014	Zea mays ssp. mays	Tabloncillo
TbNa201403	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	TbNa201403	LR>2000	2015	TbNa2014	Zea mays ssp. mays	Tabloncillo
TbNa201501	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	TbNa201501	LR>2000	2015	TbNa2015	Zea mays ssp. mays	Tabloncillo
TbNa201502	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	TbNa201502	LR>2000	2015	TbNa2015	Zea mays ssp. mays	Tabloncillo
TbNa201504	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	TbNa201504	LR>2000	2015	TbNa2015	Zea mays ssp. mays	Tabloncillo
